bod,vialT0,vialTF,CPOM,Nutrient,temp,pressure,time0,RmeasT0,timeF,RmeasTF,A,Replvol,BODwatervol
5,1,1,no,no,25,29.87,2014-06-10 11:04,5.94,2014-06-10 16:09,4.45,0.0028,83,200
8,3,3,no,no,25,29.87,2014-06-10 11:13,6.6,2014-06-10 16:13,4.2,0.0028,83,200
6,5,5,yes,no,25,29.87,2014-06-10 11:22,2.07,2014-06-10 16:17,1.15,0.0028,83,200
12,7,7,yes,no,25,29.87,2014-06-10 11:34,2.17,2014-06-10 16:20,0.95,0.0028,105,200
13,10,10,yes,no,25,29.87,2014-06-10 11:44,1.04,2014-06-10 16:26,0.725,0.0028,83,200
1,12,12,yes,no,25,29.87,2014-06-10 11:50,1.97,2014-06-10 16:30,0.75,0.0028,83,200
3,14,14,no,no,25,29.87,2014-06-10 11:59,6.66,2014-06-10 16:34,4.4,0.0028,83,200
9,16,16,no,no,25,29.87,2014-06-10 12:06,5.99,2014-06-10 16:37,4.45,0.0028,83,200
16,19,19,yes,yes,25,29.87,2014-06-10 12:21,1.17,2014-06-10 16:45,0.55,0.0028,83,200
7,21,21,no,yes,25,29.87,2014-06-10 12:28,7.85,2014-06-10 16:48,4.05,0.0028,83,200
10,23,23,yes,yes,25,29.87,2014-06-10 12:35,1.88,2014-06-10 16:51,0.9,0.0028,83,200
11,25,25,yes,yes,25,29.87,2014-06-10 12:44,2.9,2014-06-10 16:55,1.5,0.0028,83,200
2,27,27,no,yes,25,29.87,2014-06-10 12:50,6.44,2014-06-10 17:00,4.5,0.0028,83,200
4,29,29,yes,yes,25,29.87,2014-06-10 12:55,2.35,2014-06-10 17:04,0.5,0.0028,83,200
14,31,31,no,yes,25,29.87,2014-06-10 13:04,6.78,2014-06-10 17:08,4.6,0.0028,83,200
15,33,33,no,yes,25,29.87,2014-06-10 13:10,7.79,2014-06-10 17:13,4.65,0.0028,83,200
