bod,vialT0,vialTF,CPOM,Nutrient,temp,pressure,time0,RmeasT0,timeF,RmeasTF,A,Replvol,BODwatervol
3,1,3,no,no,25.3,30.02,2014-06-17 9:30,5.78,2014-06-17 14:10,4.88,0.0028,83,200
5,3,1,no,no,25.3,30.02,2014-06-17 9:40,5.56,2014-06-17 14:15,4.32,0.0028,83,200
9,5,5,no,no,25.3,30.02,2014-06-17 9:47,5.68,2014-06-17 14:17,4.17,0.0028,103,200
12,7,7,yes,no,25.3,30.02,2014-06-17 9:51,4.69,2014-06-17 14:19,3.17,0.0028,83,200
6,9,9,yes,no,25.3,30.02,2014-06-17 10:05,5.29,2014-06-17 14:22,3.46,0.0028,83,200
1,11,11,yes,no,25.3,30.02,2014-06-17 10:11,6.35,2014-06-17 14:26,3.77,0.0028,83,200
13,13,13,yes,no,25.3,30.02,2014-06-17 10:16,5.55,2014-06-17 14:29,3.41,0.0028,83,200
8,15,15,no,no,25.3,30.02,2014-06-17 10:22,5.99,2014-06-17 14:31,4.85,0.0028,83,200
7,18,18,no,yes,25.3,30.02,2014-06-17 10:32,6.09,2014-06-17 14:34,4.7,0.0028,83,200
4,20,20,yes,yes,25.3,30.02,2014-06-17 10:38,5.38,2014-06-17 14:36,3.21,0.0028,83,200
16,22,22,yes,yes,25.3,30.02,2014-06-17 10:44,5.1,2014-06-17 14:40,3.38,0.0028,83,200
10,24,24,yes,yes,25.3,30.02,2014-06-17 10:50,4.96,2014-06-17 14:47,2.41,0.0028,83,200
11,26,26,yes,yes,25.3,30.02,2014-06-17 10:56,5.95,2014-06-17 14:50,3.48,0.0028,83,200
15,28,28,no,yes,25.3,30.02,2014-06-17 11:02,6.26,2014-06-17 14:52,5.03,0.0028,83,200
2,30,30,no,yes,25.3,30.02,2014-06-17 11:08,5.92,2014-06-17 14:55,4.75,0.0028,83,200
14,32,32,no,yes,25.3,30.02,2014-06-17 11:15,5.56,2014-06-17 14:58,4.44,0.0028,98,200

