bod,vial,CPOM,Nutrient,temp,pressure,timeF,RmeasTF
5,2,no,no,25,29.87,2014-06-11 11:27,5.35
8,4,no,no,25,29.87,2014-06-11 11:27,6.18
6,6,yes,no,25,29.87,2014-06-11 11:27,0.81
12,9,yes,no,25,29.87,2014-06-11 11:27,0.21
13,11,yes,no,25,29.87,2014-06-11 11:27,0.69
1,13,yes,no,25,29.87,2014-06-11 11:27,0.6
3,15,no,no,25,29.87,2014-06-11 11:27,5.66
9,17,no,no,25,29.87,2014-06-11 11:27,5.3
16,20,yes,yes,25,29.87,2014-06-11 11:27,0.27
7,22,no,yes,25,29.87,2014-06-11 11:27,5.71
10,24,yes,yes,25,29.87,2014-06-11 11:27,0.59
11,26,yes,yes,25,29.87,2014-06-11 11:27,0.38
2,28,no,yes,25,29.87,2014-06-11 11:27,5.39
4,30,yes,yes,25,29.87,2014-06-11 11:27,0.5
14,32,no,yes,25,29.87,2014-06-11 11:27,4.83
15,34,no,yes,25,29.87,2014-06-11 11:27,6.5
