bod,CPOM,nutrient,temp,DOpre,DOpost,DO.T0,SOD
5,no,no,25,11.982708310875,9.51322997047476,11.7850387502933,31.9223716133756
8,no,no,25,13.1001507185279,9.11529500852271,12.4387425587703,47.4778221463935
6,yes,no,25,5.57453676664885,4.04815841570185,8.03625839692103,57.9384985165014
12,yes,no,25,5.67367386393358,3.67310788812486,8.73585304663715,75.8653120656188
13,yes,no,25,3.86796401536816,3.34503340176433,7.03791333742182,56.1227953747338
1,yes,no,25,5.36571629560829,3.35766413519684,7.9140984213623,69.7413411147774
3,no,no,25,13.0543137088871,9.34325835421756,12.4119279081304,47.8234216194208
9,no,no,25,12.0377695693947,9.4913051083832,11.8172495865273,36.7835183681202
16,yes,yes,25,4.05133887409167,3.03025399304794,7.14518762977507,66.8008707260899
7,no,yes,25,15.1628277646096,8.85878151380545,13.6454086307281,78.9004469822412
10,yes,yes,25,5.24329281521694,3.62231863904519,7.84248068533335,70.6500342570563
11,yes,yes,25,6.97849175509532,4.64675527383202,8.85757206516221,71.897839351113
2,no,yes,25,12.7592661868062,9.55705434813281,12.2393251077131,45.9817844499476
4,yes,yes,25,6.00546494663494,2.95320515452347,8.28835138221289,91.8269574473221
14,no,yes,25,13.3409332166493,9.73704591732038,12.5796003201713,49.9277705418776
15,no,yes,25,14.9169598693746,9.75843013213729,13.5015759120156,66.0166804211337
